id	hit_rfam_acc	fam_name	hit_clan_acc	olp	e_value
URS000000004E	RF02543	LSU_rRNA_eukarya	CL00112	^	3.9e-199
URS000000004F	RF00177	SSU_rRNA_bacteria	CL00111	^	3e-111
URS0000000050	RF00005	tRNA	CL00001	*	2.2e-09
URS0000000051	RF02543	LSU_rRNA_eukarya	CL00112	^	1.1e-279
URS0000000053	RF00177	SSU_rRNA_bacteria	CL00111	^	5.8e-34
URS0000000054	RF00177	SSU_rRNA_bacteria	CL00111	^	3.4e-40
URS0000000057	RF02543	LSU_rRNA_eukarya	CL00112	^	9.6e-82
URS000000005B	RF01960	SSU_rRNA_eukarya	CL00111	^	0.0
URS000000005C	RF00177	SSU_rRNA_bacteria	CL00111	^	3.7e-153
URS000000005D	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000005E	RF00177	SSU_rRNA_bacteria	CL00111	^	2.7e-53
URS0000000060	RF00177	SSU_rRNA_bacteria	CL00111	^	2.2e-274
URS0000000062	RF00177	SSU_rRNA_bacteria	CL00111	^	4.3e-112
URS0000000063	RF00001	5S_rRNA	-	*	2.6e-20
URS0000000065	RF00177	SSU_rRNA_bacteria	CL00111	^	1.6e-219
URS0000000066	RF01959	SSU_rRNA_archaea	CL00111	^	2.1e-136
URS0000000067	RF00177	SSU_rRNA_bacteria	CL00111	^	1.8e-103
URS0000000068	RF00177	SSU_rRNA_bacteria	CL00111	^	1.1e-266
URS0000000069	RF00177	SSU_rRNA_bacteria	CL00111	^	3.1e-57
URS000000006A	RF01959	SSU_rRNA_archaea	CL00111	^	3.4e-243
URS000000006B	RF01959	SSU_rRNA_archaea	CL00111	^	0.0
URS000000006E	RF01960	SSU_rRNA_eukarya	CL00111	^	1.6e-104
URS000000006F	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000070	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000071	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000072	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000073	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000075	RF00177	SSU_rRNA_bacteria	CL00111	*	9.1e-29
URS0000000076	RF00177	SSU_rRNA_bacteria	CL00111	^	3e-148
URS0000000077	RF00177	SSU_rRNA_bacteria	CL00111	^	6.6e-178
URS0000000078	RF02541	LSU_rRNA_bacteria	CL00112	^	9.1e-42
URS0000000079	RF00177	SSU_rRNA_bacteria	CL00111	^	3.3e-233
URS000000007A	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000007B	RF01550	TB8Cs3H1	-	*	3.1e-15
URS000000007C	RF00005	tRNA	CL00001	*	3.4e-09
URS000000007D	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000007E	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000007F	RF00001	5S_rRNA	-	*	8.7e-09
URS0000000080	RF01960	SSU_rRNA_eukarya	CL00111	^	0.0
URS0000000082	RF01960	SSU_rRNA_eukarya	CL00111	^	0.0
URS0000000086	RF02542	SSU_rRNA_microsporidia	CL00111	^	1.4e-19
URS0000000087	RF00177	SSU_rRNA_bacteria	CL00111	^	9.5e-127
URS0000000089	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000008A	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000008B	RF00177	SSU_rRNA_bacteria	CL00111	^	8.2e-269
URS000000008E	RF00177	SSU_rRNA_bacteria	CL00111	^	1.8e-217
URS000000008F	RF00002	5_8S_rRNA	-	*	2.4e-46
URS0000000090	RF01960	SSU_rRNA_eukarya	CL00111	^	0.0
URS0000000092	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000093	RF00177	SSU_rRNA_bacteria	CL00111	^	8.3e-53
URS0000000094	RF00177	SSU_rRNA_bacteria	CL00111	^	9.9e-94
URS0000000095	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000097	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000098	RF00019	Y_RNA	-	*	1.5e-13
URS0000000099	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000009A	RF01960	SSU_rRNA_eukarya	CL00111	^	7.5e-131
URS000000009B	RF00177	SSU_rRNA_bacteria	CL00111	^	1.6e-254
URS000000009E	RF00177	SSU_rRNA_bacteria	CL00111	^	6.8e-143
URS000000009F	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000A0	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000A1	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000A3	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000A4	RF00177	SSU_rRNA_bacteria	CL00111	^	5e-152
URS00000000A5	RF00177	SSU_rRNA_bacteria	CL00111	*	5.5e-43
URS00000000A6	RF00177	SSU_rRNA_bacteria	CL00111	^	3.4e-125
URS00000000A7	RF00177	SSU_rRNA_bacteria	CL00111	^	4.6e-237
URS00000000A8	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000A9	RF01959	SSU_rRNA_archaea	CL00111	^	4.5e-66
URS00000000AA	RF00177	SSU_rRNA_bacteria	CL00111	^	2.9e-216
URS00000000AB	RF00177	SSU_rRNA_bacteria	CL00111	^	2.2e-265
URS00000000AE	RF00177	SSU_rRNA_bacteria	CL00111	^	3.8e-133
URS00000000AF	RF00177	SSU_rRNA_bacteria	CL00111	*	3.5e-36
URS00000000B0	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000B1	RF00177	SSU_rRNA_bacteria	CL00111	^	7.4e-65
URS00000000B3	RF00177	SSU_rRNA_bacteria	CL00111	^	5.8e-247
URS00000000B4	RF00177	SSU_rRNA_bacteria	CL00111	^	6.2e-113
URS00000000B5	RF00177	SSU_rRNA_bacteria	CL00111	^	6.8e-281
URS00000000B6	RF00177	SSU_rRNA_bacteria	CL00111	^	1.7e-132
URS00000000B8	RF00177	SSU_rRNA_bacteria	CL00111	^	7.3e-70
URS00000000B9	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000BB	RF00177	SSU_rRNA_bacteria	CL00111	^	2.5e-185
URS00000000BC	RF00177	SSU_rRNA_bacteria	CL00111	^	1.5e-124
URS00000000BD	RF00177	SSU_rRNA_bacteria	CL00111	^	6e-110
URS00000000BE	RF00177	SSU_rRNA_bacteria	CL00111	^	4.4e-61
URS00000000BF	RF00177	SSU_rRNA_bacteria	CL00111	^	8.7e-139
URS00000000C0	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000C2	RF00177	SSU_rRNA_bacteria	CL00111	^	2.2e-301
URS00000000C3	RF00177	SSU_rRNA_bacteria	CL00111	^	2.3e-98
URS00000000C4	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000C5	RF00177	SSU_rRNA_bacteria	CL00111	^	1.3e-117
URS00000000C6	RF00177	SSU_rRNA_bacteria	CL00111	^	1.6e-135
URS00000000C7	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000C8	RF00177	SSU_rRNA_bacteria	CL00111	^	4.4e-111
URS00000000CA	RF00177	SSU_rRNA_bacteria	CL00111	^	3.8e-220
URS00000000CB	RF00177	SSU_rRNA_bacteria	CL00111	^	1.6e-117
URS00000000CC	RF00177	SSU_rRNA_bacteria	CL00111	^	2e-122
URS00000000CD	RF00177	SSU_rRNA_bacteria	CL00111	^	8e-227
URS00000000CE	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000CF	RF00177	SSU_rRNA_bacteria	CL00111	^	7.5e-133
URS00000000D0	RF00177	SSU_rRNA_bacteria	CL00111	^	5.3e-242
URS00000000D1	RF00177	SSU_rRNA_bacteria	CL00111	^	2.3e-210
URS00000000D3	RF00177	SSU_rRNA_bacteria	CL00111	^	3e-37
URS00000000D4	RF02543	LSU_rRNA_eukarya	CL00112	^	2.2e-102
URS00000000D6	RF00177	SSU_rRNA_bacteria	CL00111	^	2e-39
URS00000000D8	RF00177	SSU_rRNA_bacteria	CL00111	^	8.6e-173
URS00000000DA	RF00177	SSU_rRNA_bacteria	CL00111	^	2.6e-83
URS00000000DB	RF00177	SSU_rRNA_bacteria	CL00111	^	3.7e-278
URS00000000DC	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000DD	RF00177	SSU_rRNA_bacteria	CL00111	^	3.5e-133
URS00000000DE	RF00177	SSU_rRNA_bacteria	CL00111	^	8.8e-242
URS00000000E0	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000E2	RF00177	SSU_rRNA_bacteria	CL00111	^	2e-112
URS00000000E3	RF00177	SSU_rRNA_bacteria	CL00111	^	7.3e-133
URS00000000E4	RF00177	SSU_rRNA_bacteria	CL00111	^	1.1e-122
URS00000000E5	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000E6	RF00177	SSU_rRNA_bacteria	CL00111	^	2.2e-85
URS00000000E7	RF00177	SSU_rRNA_bacteria	CL00111	^	3.7e-169
URS00000000E8	RF00177	SSU_rRNA_bacteria	CL00111	^	1.4e-156
URS00000000E9	RF00177	SSU_rRNA_bacteria	CL00111	*	3.4e-51
URS00000000EA	RF00177	SSU_rRNA_bacteria	CL00111	*	5.7e-36
URS00000000EB	RF00177	SSU_rRNA_bacteria	CL00111	^	3.2e-117
URS00000000ED	RF00177	SSU_rRNA_bacteria	CL00111	^	2.4e-152
URS00000000EE	RF00177	SSU_rRNA_bacteria	CL00111	^	2.2e-196
URS00000000EF	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000F0	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000F1	RF00177	SSU_rRNA_bacteria	CL00111	^	9.4e-65
URS00000000F2	RF01959	SSU_rRNA_archaea	CL00111	^	0.0
URS00000000F3	RF00177	SSU_rRNA_bacteria	CL00111	^	8.8e-132
URS00000000F4	RF00177	SSU_rRNA_bacteria	CL00111	^	9.4e-162
URS00000000F8	RF01959	SSU_rRNA_archaea	CL00111	^	7.7e-118
URS00000000FA	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000000FB	RF00177	SSU_rRNA_bacteria	CL00111	^	6.3e-189
URS00000000FC	RF00177	SSU_rRNA_bacteria	CL00111	^	8.1e-107
URS00000000FF	RF01959	SSU_rRNA_archaea	CL00111	^	6.6e-62
URS0000000101	RF00177	SSU_rRNA_bacteria	CL00111	^	3.1e-124
URS0000000103	RF00177	SSU_rRNA_bacteria	CL00111	^	1.6e-182
URS0000000104	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000105	RF01960	SSU_rRNA_eukarya	CL00111	^	2.3e-110
URS0000000106	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000107	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000108	RF02541	LSU_rRNA_bacteria	CL00112	^	3e-45
URS0000000109	RF00177	SSU_rRNA_bacteria	CL00111	^	4.1e-233
URS000000010A	RF00177	SSU_rRNA_bacteria	CL00111	*	7.7e-34
URS000000010B	RF00177	SSU_rRNA_bacteria	CL00111	^	1.4e-134
URS000000010C	RF00177	SSU_rRNA_bacteria	CL00111	^	1.1e-93
URS000000010D	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000010E	RF00177	SSU_rRNA_bacteria	CL00111	^	9.3e-157
URS000000010F	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000112	RF00177	SSU_rRNA_bacteria	CL00111	^	3.5e-118
URS0000000113	RF00177	SSU_rRNA_bacteria	CL00111	^	4e-137
URS0000000114	RF01960	SSU_rRNA_eukarya	CL00111	^	1.5e-241
URS0000000115	RF00177	SSU_rRNA_bacteria	CL00111	^	1.1e-241
URS0000000116	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000117	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000119	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000011B	RF00002	5_8S_rRNA	-	*	3.6e-28
URS000000011C	RF01960	SSU_rRNA_eukarya	CL00111	^	0.0
URS000000011D	RF00177	SSU_rRNA_bacteria	CL00111	*	1.2e-22
URS000000011E	RF01959	SSU_rRNA_archaea	CL00111	^	4.4e-58
URS000000011F	RF02541	LSU_rRNA_bacteria	CL00112	^	2.3e-21
URS0000000120	RF01959	SSU_rRNA_archaea	CL00111	^	2.3e-67
URS0000000121	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000122	RF00177	SSU_rRNA_bacteria	CL00111	^	8.8e-105
URS0000000123	RF00177	SSU_rRNA_bacteria	CL00111	^	1.1e-120
URS0000000124	RF00177	SSU_rRNA_bacteria	CL00111	^	5.3e-58
URS0000000125	RF00177	SSU_rRNA_bacteria	CL00111	^	1.1e-130
URS0000000126	RF00177	SSU_rRNA_bacteria	CL00111	^	1.3e-71
URS0000000127	RF00177	SSU_rRNA_bacteria	CL00111	^	5.6e-242
URS0000000128	RF00177	SSU_rRNA_bacteria	CL00111	^	2.4e-250
URS000000012A	RF00177	SSU_rRNA_bacteria	CL00111	^	4.3e-247
URS000000012B	RF00177	SSU_rRNA_bacteria	CL00111	^	4.7e-119
URS000000012C	RF00177	SSU_rRNA_bacteria	CL00111	^	2.2e-188
URS000000012D	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000012E	RF00177	SSU_rRNA_bacteria	CL00111	^	9.2e-166
URS000000012F	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000130	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000132	RF00177	SSU_rRNA_bacteria	CL00111	^	2.2e-289
URS0000000133	RF00177	SSU_rRNA_bacteria	CL00111	^	1.2e-65
URS0000000134	RF01959	SSU_rRNA_archaea	CL00111	^	8.2e-110
URS0000000135	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000136	RF02543	LSU_rRNA_eukarya	CL00112	^	8.5e-148
URS0000000137	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000138	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000139	RF00177	SSU_rRNA_bacteria	CL00111	^	1.2e-112
URS000000013A	RF00177	SSU_rRNA_bacteria	CL00111	^	2e-164
URS000000013D	RF00177	SSU_rRNA_bacteria	CL00111	^	1.6e-47
URS000000013F	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000140	RF00177	SSU_rRNA_bacteria	CL00111	^	9.4e-109
URS0000000141	RF00177	SSU_rRNA_bacteria	CL00111	^	2.3e-206
URS0000000142	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000145	RF00005	tRNA	CL00001	*	8.9e-15
URS0000000146	RF00177	SSU_rRNA_bacteria	CL00111	^	6e-127
URS0000000147	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000148	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000149	RF00177	SSU_rRNA_bacteria	CL00111	^	1.6e-162
URS000000014C	RF00177	SSU_rRNA_bacteria	CL00111	^	1.1e-78
URS000000014D	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000014E	RF00177	SSU_rRNA_bacteria	CL00111	^	2.4e-56
URS000000014F	RF00177	SSU_rRNA_bacteria	CL00111	^	3.1e-115
URS0000000150	RF00177	SSU_rRNA_bacteria	CL00111	^	2.1e-260
URS0000000151	RF00001	5S_rRNA	-	*	4.2e-29
URS0000000152	RF01959	SSU_rRNA_archaea	CL00111	^	8e-215
URS0000000153	RF00177	SSU_rRNA_bacteria	CL00111	^	3.1e-150
URS0000000154	RF00005	tRNA	CL00001	*	1.4e-14
URS0000000156	RF00005	tRNA	CL00001	*	2.2e-11
URS0000000158	RF01959	SSU_rRNA_archaea	CL00111	^	0.0
URS0000000159	RF01960	SSU_rRNA_eukarya	CL00111	*	2.6e-27
URS000000015A	RF01959	SSU_rRNA_archaea	CL00111	^	8.2e-63
URS000000015B	RF00177	SSU_rRNA_bacteria	CL00111	^	1.3e-243
URS000000015D	RF00177	SSU_rRNA_bacteria	CL00111	^	8.2e-190
URS000000015E	RF02542	SSU_rRNA_microsporidia	CL00111	*	3e-20
URS0000000160	RF00177	SSU_rRNA_bacteria	CL00111	^	4.9e-171
URS0000000161	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000162	RF00177	SSU_rRNA_bacteria	CL00111	^	6e-148
URS0000000163	RF00177	SSU_rRNA_bacteria	CL00111	^	1.4e-279
URS0000000164	RF00177	SSU_rRNA_bacteria	CL00111	^	3.2e-109
URS0000000166	RF00177	SSU_rRNA_bacteria	CL00111	^	2.4e-58
URS0000000167	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000168	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000169	RF02543	LSU_rRNA_eukarya	CL00112	^	5.4e-118
URS000000016A	RF00177	SSU_rRNA_bacteria	CL00111	^	2.6e-109
URS000000016B	RF01960	SSU_rRNA_eukarya	CL00111	^	5.7e-176
URS000000016C	RF01959	SSU_rRNA_archaea	CL00111	^	8e-65
URS000000016E	RF00177	SSU_rRNA_bacteria	CL00111	^	5.1e-53
URS000000016F	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000170	RF00177	SSU_rRNA_bacteria	CL00111	^	8.5e-136
URS0000000171	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000173	RF00177	SSU_rRNA_bacteria	CL00111	^	1.4e-163
URS0000000174	RF00177	SSU_rRNA_bacteria	CL00111	^	2.7e-234
URS0000000175	RF01960	SSU_rRNA_eukarya	CL00111	^	1.3e-235
URS0000000176	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000177	RF00002	5_8S_rRNA	-	*	8e-39
URS0000000178	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000179	RF00177	SSU_rRNA_bacteria	CL00111	^	4.4e-213
URS000000017A	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000017B	RF01960	SSU_rRNA_eukarya	CL00111	^	0.0
URS000000017D	RF01960	SSU_rRNA_eukarya	CL00111	^	0.0
URS000000017E	RF00177	SSU_rRNA_bacteria	CL00111	^	2.3e-129
URS000000017F	RF00005	tRNA	CL00001	*	5.8e-16
URS0000000181	RF02543	LSU_rRNA_eukarya	CL00112	^	7.4e-76
URS0000000182	RF00177	SSU_rRNA_bacteria	CL00111	^	3.2e-58
URS0000000183	RF00001	5S_rRNA	-	*	9.4e-18
URS0000000187	RF00177	SSU_rRNA_bacteria	CL00111	^	9.6e-170
URS0000000188	RF00177	SSU_rRNA_bacteria	CL00111	^	3.2e-112
URS0000000189	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000018A	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000018B	RF00177	SSU_rRNA_bacteria	CL00111	^	1.2e-286
URS000000018C	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000018D	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000018F	RF00005	tRNA	CL00001	*	2.7e-16
URS0000000190	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000191	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000192	RF00177	SSU_rRNA_bacteria	CL00111	^	1.7e-105
URS0000000193	RF00005	tRNA	CL00001	*	4.4e-15
URS0000000194	RF01959	SSU_rRNA_archaea	CL00111	^	3.8e-173
URS0000000196	RF00177	SSU_rRNA_bacteria	CL00111	^	4.6e-157
URS0000000197	RF00177	SSU_rRNA_bacteria	CL00111	^	2e-214
URS0000000198	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS0000000199	RF00177	SSU_rRNA_bacteria	CL00111	^	1.5e-122
URS000000019A	RF01960	SSU_rRNA_eukarya	CL00111	^	3e-234
URS000000019B	RF00177	SSU_rRNA_bacteria	CL00111	*	2e-26
URS000000019C	RF00177	SSU_rRNA_bacteria	CL00111	^	4.9e-168
URS000000019D	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000019E	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS000000019F	RF02543	LSU_rRNA_eukarya	CL00112	^	2.7e-251
URS00000001A0	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000001A1	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000001A2	RF00177	SSU_rRNA_bacteria	CL00111	^	1.5e-242
URS00000001A3	RF01960	SSU_rRNA_eukarya	CL00111	^	1.2e-75
URS00000001A5	RF00177	SSU_rRNA_bacteria	CL00111	^	2.5e-230
URS00000001A7	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000001A9	RF00177	SSU_rRNA_bacteria	CL00111	^	4.3e-280
URS00000001AB	RF00177	SSU_rRNA_bacteria	CL00111	^	1.4e-97
URS00000001AC	RF00177	SSU_rRNA_bacteria	CL00111	^	2.2e-139
URS00000001AD	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000001AE	RF00177	SSU_rRNA_bacteria	CL00111	^	8.5e-50
URS00000001AF	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000001B0	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000001B1	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000001B3	RF00177	SSU_rRNA_bacteria	CL00111	^	3.9e-96
URS00000001B4	RF00177	SSU_rRNA_bacteria	CL00111	^	2.7e-76
URS00000001B5	RF00177	SSU_rRNA_bacteria	CL00111	*	6e-23
URS00000001B6	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000001B7	RF00177	SSU_rRNA_bacteria	CL00111	^	2.1e-232
URS00000001B8	RF00177	SSU_rRNA_bacteria	CL00111	^	1.7e-120
URS00000001BA	RF00177	SSU_rRNA_bacteria	CL00111	^	2.6e-137
URS00000001BB	RF00177	SSU_rRNA_bacteria	CL00111	^	4.9e-70
URS00000001BD	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000001BF	RF00177	SSU_rRNA_bacteria	CL00111	^	3.5e-269
URS00000001C0	RF00177	SSU_rRNA_bacteria	CL00111	^	5.7e-261
URS00000001C1	RF01960	SSU_rRNA_eukarya	CL00111	^	0.0
URS00000001C2	RF00177	SSU_rRNA_bacteria	CL00111	^	3.4e-124
URS00000001C3	RF00177	SSU_rRNA_bacteria	CL00111	^	2.6e-130
URS00000001C4	RF02541	LSU_rRNA_bacteria	CL00112	^	0.0
URS00000001C6	RF00177	SSU_rRNA_bacteria	CL00111	^	5.8e-152
URS00000001C8	RF00177	SSU_rRNA_bacteria	CL00111	^	0.0
URS00000001C9	RF00177	SSU_rRNA_bacteria	CL00111	^	9e-179
URS00000001CA	RF00177	SSU_rRNA_bacteria	CL00111	^	8e-153
